,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
8686,0.165,Starboy,The Weeknd,1.0,0.535,0.6809999999999999,0.594,3.49e-06,7.0,0.134,-7.028,230453.0,Starboy,44.0,0.282,186.054,4.0,1800000000.0
8687,0.0784,Encore,DJ Snake,1.0,0.142,0.47600000000000003,0.718,1.0199999999999999e-05,8.0,0.122,-5.309,205946.0,Let Me Love You,45.0,0.0576,199.864,4.0,965000000.0
8688,0.00784,Views,Drake,1.0,0.371,0.7909999999999999,0.619,0.004229999999999999,1.0,0.35100000000000003,-5.886,173986.0,One Dance,47.0,0.0532,103.98899999999999,4.0,95000000.0
8689,0.0316,Glory Days (Deluxe),Little Mix,1.0,0.823,0.774,0.7390000000000001,5.95e-06,0.0,0.11900000000000001,-4.022,246240.0,Shout Out to My Ex,26.0,0.0952,126.00200000000001,4.0,418000000.0
8690,0.88,Hear The Bells,Vanessa Carlton,1.0,0.32899999999999996,0.44,0.23600000000000002,3.09e-05,11.0,0.10800000000000001,-7.7120000000000015,278346.0,A Thousand Miles (Live Acoustic),24.0,0.0279,83.935,4.0,1200000.0
8691,0.451,The Head and the Heart,The Head and the Heart,1.0,0.37,0.375,0.546,0.000312,2.0,0.278,-8.16,259120.0,Lost in My Mind,57.0,0.0294,95.361,4.0,9500000.0
8692,0.17300000000000001,The Greatest Hits 1970-2002,Elton John,1.0,0.747,0.7290000000000001,0.846,2.18e-06,5.0,0.0811,-8.841000000000003,274266.0,Don't Go Breaking My Heart,21.0,0.0358,131.472,4.0,55000000.0
8693,0.0339,Abbey Road (Remastered),The Beatles,1.0,0.39399999999999996,0.557,0.54,0.00248,9.0,0.179,-10.484000000000002,185733.0,Here Comes The Sun - Remastered,43.0,0.0347,129.171,4.0,57000000.0
8694,0.0163,Formel Eins Rock Pop Hits,a-ha,0.0,0.8590000000000001,0.534,0.872,0.0017399999999999998,6.0,0.0924,-9.156,225920.0,Take on Me,16.0,0.0498,169.088,4.0,1200000000.0
8695,0.0551,Songs About Jane,Maroon 5,0.0,0.78,0.7140000000000001,0.868,0.0,5.0,0.0987,-4.596,206200.0,This Love,40.0,0.0363,95.05,4.0,223000000.0
8696,0.0674,"Hello, I Must Be Going",Phil Collins,1.0,0.7609999999999999,0.639,0.9229999999999999,0.0,7.0,0.0879,-5.7079999999999975,175346.0,You Can't Hurry Love,34.0,0.032,97.874,4.0,4400000.0
8697,0.868,FourFiveSeconds,Rihanna,1.0,0.321,0.579,0.268,0.0,2.0,0.12,-5.65,188238.0,FourFiveSeconds,42.0,0.0442,205.903,4.0,470000000.0
8698,0.19699999999999998,Come On Eileen / Dubious,Dexys Midnight Runners,1.0,0.8240000000000001,0.41,0.8740000000000001,0.0,0.0,0.0843,-4.2860000000000005,205933.0,Come On Eileen,32.0,0.0907,107.08,4.0,18000000.0
8699,0.0011300000000000001,Hot Fuss,The Killers,1.0,0.239,0.35100000000000003,0.9279999999999999,0.0,1.0,0.0988,-3.71,222075.0,Mr. Brightside,27.0,0.0759,148.03,4.0,425000000.0
8700,0.00223,One Of The Boys,Katy Perry,1.0,0.696,0.6990000000000001,0.76,0.0,5.0,0.132,-3.173,179640.0,I Kissed A Girl,54.0,0.0677,129.996,4.0,221000000.0
8701,0.135,Années 80 (50 Tubes),Irene Cara,0.0,0.9390000000000001,0.703,0.604,4.73e-06,0.0,0.0688,-13.195,313453.0,Fame,30.0,0.0334,130.648,4.0,6600000.0
8702,0.134,The Lady Killer (Deluxe),CeeLo Green,1.0,0.772,0.696,0.875,0.0,0.0,0.159,-3.682,222733.0,Forget You,59.0,0.0649,127.39,4.0,50000000.0
8703,0.0038,True,Avicii,1.0,0.643,0.532,0.7829999999999999,0.0012,2.0,0.161,-5.697,247426.0,Wake Me Up - Radio Edit,49.0,0.0523,124.08,4.0,2000000000.0
8704,0.19399999999999998,Milestones - Toto,Toto,1.0,0.7120000000000001,0.687,0.5920000000000001,0.00048499999999999997,9.0,0.0502,-9.112,296173.0,Africa,22.0,0.0295,92.78200000000001,4.0,658000000.0
8705,0.0291,Saturday Night Fever [The Original Movie Soundtrack],Bee Gees,0.0,0.9229999999999999,0.7040000000000001,0.8340000000000001,0.00492,10.0,0.147,-7.131,285373.0,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,24.0,0.0358,103.555,4.0,585000000.0
